item,unix_timestamp,value,activity_label,location_label
Predicted_Usage,1563961711000,24820235.230000056,activity_prepare_cake,kitchen_location_worktop_corner
Current_Usage,1563961711000,29061.170000000002,activity_prepare_cake,kitchen_location_worktop_corner
Ktch_Motion_1,1563961713000,OFF,activity_prepare_cake,kitchen_location_worktop_corner
Ktch_Motion_1,1563961716000,ON,activity_prepare_cake,kitchen_location_worktop_corner
Ktch_Motion_1,1563961744000,OFF,activity_prepare_cake,kitchen_location_worktop_corner
DgRm_Motion_2,1563961747000,ON,activity_prepare_cake,kitchen_location_worktop_corner
Ktch_T4_Cupboard,1563961747000,OFF,activity_prepare_cake,kitchen_location_worktop_corner
Ktch_Motion_1,1563961747000,ON,activity_prepare_cake,kitchen_location_worktop_corner
Ktch_T4_Cupboard,1563961752000,ON,activity_prepare_cake,kitchen_location_worktop_corner
Ktch_Motion_2,1563961760000,ON,TRA,TRA
Ktch_Motion_2,1563961774000,OFF,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563961778000,OFF,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563961779000,OFF,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563961781000,ON,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563961784000,ON,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563961800000,OFF,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563961807000,ON,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563961822000,OFF,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563961825000,ON,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563961851000,OFF,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563961854000,ON,TRA,TRA
Ktch_Motion_2,1563961855000,ON,TRA,TRA
DgRm_Motion_1,1563961856000,ON,TRA,TRA
DgRm_Motion_1,1563961866000,OFF,activity_wash_dishes,kitchen_location_worktop_sink
Ktch_Motion_2,1563961866000,OFF,activity_wash_dishes,kitchen_location_worktop_sink
DgRm_Motion_2,1563961868000,OFF,activity_wash_dishes,kitchen_location_worktop_sink
Ktch_Motion_2,1563961908000,ON,TRA,TRA
DgRm_Motion_2,1563961908000,ON,TRA,TRA
DgRm_Motion_1,1563961911000,ON,TRA,TRA
BdRm_Motion_2,1563961918000,ON,TRA,TRA
BdRm_Motion_1,1563961918000,ON,TRA,TRA
Ktch_Motion_2,1563961921000,OFF,TRA,TRA
Ktch_Motion_1,1563961922000,OFF,TRA,TRA
DgRm_Motion_2,1563961924000,OFF,TRA,TRA
DgRm_Motion_1,1563961927000,OFF,activity_dressing,bedroom_location_drawers
